ID,NationalTeam,IntReputation,NationalNumber
220182,Belgium,3,3
220971,Not in team,2,
221087,Not in team,1,
221660,Sweden,2,3
222331,Germany,2,26
222716,Not in team,1,
223724,Not in team,2,
198141,Not in team,3,
201143,Not in team,1,
208808,Not in team,3,
171877,Not in team,3,
231447,Netherlands,2,18
1179,Not in team,4,
140233,Mexico,1,13
148119,Not in team,3,
162347,Portugal,3,8
169588,Northern Ireland,2,5
171579,Not in team,2,
172522,Denmark,2,18
183855,Not in team,2,
173426,Belgium,3,12
176676,Not in team,4,
177388,Not in team,3,
177509,Not in team,3,
177604,Not in team,2,
178518,Not in team,3,
182493,Not in team,3,
232119,Not in team,1,
232293,Not in team,2,
233195,Austria,2,23
233306,England,2,13
246669,England,2,16
244470,Czech Republic,1,5
244369,Ukraine,2,7
243576,Not in team,1,
241095,Not in team,2,
241084,Not in team,1,
240900,Not in team,1,
240709,Not in team,2,
239207,Not in team,1,
238794,Not in team,2,
237383,Italy,1,23
237238,Scotland,2,4
236987,Not in team,2,
236583,Not in team,2,
236401,Not in team,2,
182494,Not in team,3,
184941,Not in team,4,
207877,Not in team,2,
204399,Not in team,2,
201922,Austria,2,4
202024,Not in team,2,
202166,Not in team,3,
202325,Not in team,2,
203890,Not in team,2,
203895,Not in team,2,
203980,Not in team,2,
204970,Not in team,1,
185020,Not in team,3,
205600,Not in team,3,
205686,Not in team,2,
205693,Not in team,3,
205705,Not in team,1,
205849,Not in team,1,
207599,Not in team,2,
207732,Not in team,2,
201400,Not in team,2,
223959,Not in team,2,
201119,Not in team,2,
199254,Not in team,1,
186561,Wales,3,20
187598,Italy,2,25
189117,Not in team,3,
189271,Not in team,2,
189690,Not in team,2,
190972,Not in team,2,
193061,Not in team,2,
196432,Not in team,2,
197225,Not in team,3,
197242,Poland,3,10
198009,Not in team,2,
198031,Not in team,1,
198950,Not in team,2,
198951,Not in team,2,
199042,Not in team,3,
223816,Not in team,1,
216189,Not in team,2,
224179,Not in team,1,
230201,Brazil,1,2
227290,Not in team,1,
227813,Ukraine,2,17
227928,Portugal,2,2
229237,Not in team,2,
229261,Not in team,2,
229582,Not in team,2,
229857,Not in team,1,
229927,Not in team,2,
224309,Not in team,1,
230271,Brazil,1,13
230313,Brazil,1,16
230767,Not in team,3,
226754,Not in team,2,
226491,Scotland,2,6
225953,Netherlands,2,7
225201,Not in team,1,
225085,Not in team,2,
230204,Brazil,1,12
230498,Brazil,1,11
192123,New Zealand,1,9
191202,Not in team,3,
191740,Not in team,3,
192064,Not in team,2,
192906,Not in team,1,
192598,China PR,2,9
192638,Not in team,2,
192789,Not in team,2,
190745,Not in team,1,
190813,Not in team,3,
189615,Not in team,2,
190717,Not in team,2,
190584,Not in team,2,
189805,Not in team,2,
189682,Not in team,1,
193348,Not in team,3,
189560,Not in team,2,
188042,Not in team,2,
188041,Not in team,1,
187052,Not in team,2,
186682,Not in team,1,
193198,Not in team,2,
198230,Not in team,1,
194209,Not in team,2,
202048,Not in team,1,
204024,Not in team,2,
203483,Netherlands,2,14
203299,Not in team,2,
202935,Not in team,2,
202857,Not in team,2,
202750,Not in team,1,
202648,Not in team,1,
202477,Not in team,3,
202335,Not in team,2,
201455,Not in team,2,
194333,Not in team,2,
200726,Not in team,2,
200315,Not in team,2,
199503,Not in team,3,
199354,Not in team,2,
198946,Not in team,2,
198784,Not in team,2,
198329,Not in team,3,
178509,Not in team,3,
196978,Not in team,2,
184484,Iceland,3,10
170890,Not in team,3,
176919,Not in team,1,
226300,Not in team,1,
223597,Not in team,2,
224031,Not in team,2,
224196,Not in team,2,
224490,Not in team,2,
225116,Italy,2,26
225508,Not in team,2,
225663,Russia,3,17
226162,Not in team,3,
226221,Not in team,1,
226456,Not in team,2,
223249,Not in team,1,
226851,Not in team,3,
228093,Not in team,2,
228520,Not in team,1,
228687,Denmark,2,12
230184,Not in team,1,
230216,Brazil,1,19
230234,Brazil,1,8
230251,Not in team,1,
230312,Brazil,1,23
223578,Not in team,1,
222501,Belgium,1,21
176635,Not in team,4,
216150,Not in team,2,
176550,Not in team,2,
173221,Not in team,3,
162240,Not in team,3,
159145,Not in team,3,
158121,Not in team,2,
156616,Not in team,4,
213516,Not in team,1,
204234,Not in team,1,
216145,Not in team,2,
216388,Not in team,2,
222028,Not in team,2,
216531,Not in team,1,
218339,Germany,2,18
219789,Not in team,2,
219809,Not in team,2,
220253,Not in team,2,
220523,Not in team,2,
220673,Not in team,1,
220793,Not in team,2,
221491,Not in team,2,
214047,Not in team,1,
204538,Not in team,2,
204259,Not in team,2,
210513,Not in team,2,
251809,Not in team,2,
252371,England,2,21
255475,Not in team,2,
212442,Not in team,1,
212404,Italy,2,20
212382,Not in team,1,
212096,Not in team,2,
211748,Not in team,2,
211241,Not in team,1,
211022,Not in team,1,
210897,Not in team,1,
210625,Not in team,2,
210324,Germany,2,23
247204,Not in team,1,
210315,Not in team,1,
209846,Not in team,2,
208165,Not in team,1,
208135,Not in team,2,
208104,Not in team,1,
207566,Not in team,2,
207494,Not in team,2,
206585,Not in team,2,
206545,Not in team,2,
206467,Not in team,2,
205923,Wales,2,4
138412,Not in team,2,
247851,Not in team,2,
41,Not in team,4,
244067,Not in team,2,
236480,Not in team,1,
243812,Not in team,1,
232432,Not in team,1,
232580,Not in team,2,
232665,Not in team,1,
232730,Not in team,2,
232756,Not in team,2,
233738,Not in team,1,
234035,Not in team,1,
234236,Czech Republic,3,10
234612,Not in team,3,
235073,Not in team,1,
235688,Not in team,1,
206413,Ukraine,1,19
236506,Not in team,2,
239433,Not in team,1,
236572,Not in team,2,
241788,Not in team,1,
241637,France,2,24
240679,Netherlands,2,20
240243,Not in team,2,
242516,Netherlands,1,9
239301,Argentina,2,25
237239,Not in team,2,
236632,Not in team,3,
237942,Not in team,1,
236610,Not in team,2,
199576,Not in team,2,
24630,Not in team,3,
178007,Not in team,3,
178088,Not in team,3,
203605,Czech Republic,2,2
199189,Not in team,2,
199206,Not in team,3,
198658,Norway,2,18
198657,Norway,1,16
197837,Belgium,2,4
146439,Not in team,3,
195096,Not in team,1,
199915,Not in team,1,
152908,Not in team,2,
156433,Not in team,1,
159261,Not in team,2,
163155,Not in team,2,
199715,Not in team,2,
200155,Not in team,1,
200159,Not in team,1,
201042,Not in team,2,
201417,Republic of Ireland,1,14
201995,Not in team,3,
202493,Not in team,2,
194222,Not in team,1,
195093,Not in team,2,
189053,Not in team,1,
193469,Not in team,2,
187936,Not in team,2,
178213,Not in team,2,
178224,Not in team,3,
178415,Not in team,2,
180216,Republic of Ireland,2,2
183394,Not in team,2,
184392,Not in team,2,
185103,Not in team,3,
186197,Not in team,2,
199652,Belgium,2,19
186801,Not in team,2,
187607,Russia,2,22
188335,Not in team,2,
193408,Not in team,2,
189125,Not in team,2,
189280,Not in team,1,
189505,Not in team,3,
189606,Not in team,2,
189881,Not in team,3,
190243,Not in team,2,
191180,Not in team,3,
192678,Not in team,1,
192679,Not in team,1,
193171,Not in team,1,
193361,Not in team,2,
202849,Denmark,2,3
243559,Not in team,1,
203747,Not in team,3,
203843,Not in team,1,
242187,Austria,2,19
241727,Not in team,2,
240753,Not in team,2,
240699,Not in team,1,
239817,Not in team,1,
239613,Italy,2,12
239380,Not in team,1,
238616,Not in team,1,
238476,Not in team,1,
238463,Not in team,2,
238067,Italy,2,22
237678,Not in team,2,
236791,Czech Republic,1,7
236355,Not in team,1,
236045,Not in team,1,
242201,Not in team,1,
243238,Not in team,1,
228413,Not in team,1,
246147,Not in team,1,
244193,Not in team,1,
244253,Not in team,1,
244467,Not in team,1,
244622,Not in team,1,
245630,Not in team,2,
246104,Netherlands,1,16
246430,Not in team,2,
256630,Germany,2,16
246646,Not in team,2,
246844,Not in team,1,
248243,Not in team,3,
248695,Not in team,1,
252145,Portugal,1,19
253163,Not in team,1,
235353,Not in team,1,
234835,Portugal,1,14
234060,Not in team,1,
206651,Not in team,1,
230206,Not in team,1,
230183,Not in team,1,
229909,Not in team,1,
208295,Not in team,1,
208268,Italy,2,16
243630,Canada,2,20
206590,Not in team,1,
230285,Not in team,1,
206534,Not in team,2,
205966,Not in team,2,
205409,Not in team,1,
205192,Not in team,2,
204614,Not in team,2,
204082,United States,2,6
230212,Brazil,1,5
230360,Not in team,1,
233486,Not in team,1,
231352,Not in team,2,
232487,Not in team,2,
232229,Netherlands,1,1
232080,Not in team,1,
231887,Not in team,1,
231691,Not in team,2,
231410,Not in team,1,
231340,Argentina,1,4
230385,Brazil,1,15
230460,Brazil,1,14
230442,Not in team,1,
167397,Not in team,3,
230440,Not in team,1,
230426,Brazil,1,21
230406,Brazil,1,17
165229,Not in team,3,
228881,Not in team,2,
170368,Not in team,2,
214097,Not in team,2,
219733,Not in team,2,
219581,Not in team,1,
217546,Not in team,1,
217036,Not in team,1,
216643,France,3,2
216320,Not in team,2,
216194,Not in team,1,
215590,Not in team,1,
215353,Not in team,2,
214766,Not in team,1,
214092,Russia,1,15
219985,Not in team,2,
