ID,PreferredFoot,Height,Weight
241095,Right,178,79
241084,Right,180,73
240900,Right,186,81
240709,Right,176,75
239207,Right,186,84
238794,Right,176,73
237383,Left,190,75
237238,Right,193,88
236987,Right,184,68
236583,Right,196,81
236401,Right,183,62
182494,Right,190,74
184941,Right,168,62
207877,Right,170,69
204399,Right,182,71
201922,Left,184,83
202024,Right,180,80
202166,Right,187,77
202325,Right,172,71
203890,Right,181,76
203895,Right,170,63
203980,Right,183,70
204970,Left,179,70
185020,Right,178,73
205600,Left,182,75
205686,Right,172,69
205693,Right,190,82
205705,Left,192,84
205849,Right,194,83
207599,Right,191,82
207732,Right,179,74
201400,Left,174,71
223959,Right,166,60
201119,Left,177,86
199254,Right,184,73
186561,Right,183,76
187598,Right,185,75
189117,Right,187,85
189271,Right,176,74
189690,Right,190,80
190972,Right,173,71
193061,Right,182,77
196432,Right,178,77
197225,Left,170,69
197242,Right,187,84
198009,Right,188,77
198031,Right,181,78
198950,Left,174,70
198951,Right,182,74
199042,Right,171,68
223816,Right,177,79
216189,Right,175,75
224179,Right,187,86
230201,Right,177,75
227290,Left,194,94
227813,Left,175,64
227928,Right,177,69
229237,Right,187,91
229261,Right,191,81
229582,Right,190,77
229857,Right,168,62
229927,Left,184,72
224309,Right,183,74
230271,Left,171,63
230313,Right,179,80
230767,Right,176,70
226754,Left,175,70
226491,Left,178,70
225953,Right,178,78
225201,Right,175,73
225085,Right,175,70
230204,Right,182,74
230498,Right,176,73
192123,Right,191,92
191202,Left,194,83
191740,Right,182,71
192064,Right,185,78
192906,Right,168,71
192598,Right,180,77
192638,Left,188,85
192789,Right,180,77
190745,Right,191,80
190813,Right,178,73
189615,Left,175,66
190717,Right,178,82
190584,Right,179,74
189805,Right,188,86
189682,Left,180,82
193348,Left,169,72
189560,Right,190,80
188042,Right,183,75
188041,Right,181,78
187052,Right,182,80
186682,Right,181,72
193198,Right,187,73
198230,Right,187,82
194209,Right,182,84
202048,Right,186,80
204024,Right,191,76
203483,Right,179,70
203299,Right,182,78
202935,Right,182,75
202857,Right,184,81
202750,Right,195,97
202648,Right,180,71
202477,Right,177,73
202335,Right,190,90
201455,Left,188,76
194333,Right,190,81
200726,Left,187,78
200315,Right,178,65
199503,Left,185,82
199354,Left,180,73
198946,Right,180,75
198784,Right,175,70
198329,Left,182,77
178509,Left,193,91
196978,Right,180,66
184484,Right,186,77
170890,Left,180,75
176919,Right,193,94
226300,Right,191,82
223597,Right,172,71
224031,Right,185,85
224196,Left,186,82
224490,Right,180,78
225116,Left,190,83
225508,Right,186,77
225663,Right,180,69
226162,Right,172,65
226221,Right,180,71
226456,Right,178,67
223249,Right,188,82
226851,Right,186,81
228093,Right,192,88
228520,Left,172,81
228687,Right,187,84
230184,Left,168,65
230216,Right,175,70
230234,Right,177,75
230251,Right,188,88
230312,Right,186,80
223578,Right,185,79
222501,Right,180,80
176635,Left,180,71
216150,Right,182,75
176550,Right,183,80
